,Unnamed: 0,airline_name,author,author_country,content,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating,Month,Year,recommended
5373,7371,ana-all-nippon-airways,S Bajumi,United States,New revised economy's seating arrangement on ANA's 777-300 ER was a big disappointment. Flew on NH 0007 on May 18 continued on NH 835 on 787 on May 19 after 2.45 transit time. The first flight SFO-NRT was a miserable 10+ hours flight. I didn't expect to see 3x4x3 on a 77W seat plan especially from a 5 star airlines. Food was great and cabin crew were attentive but couldn't make up for the awkward seating arrangement. The second flight was on a 787 with a generous 2+4+2 it was a much better flight and I hope ANA will keep the seating arrangement on a 7+ hrs flight.,Economy,6,2,4,4,4,2,5,2015,0
4342,5870,airasia-x,Paesen Yves,Belgium,KUL-MELMEL-KUL check in good and fast friendly staff. Airbus 330-300 very clean with a lot of legroom friendly staff on board and food was not expensive. All flights on schedule.,Economy,10,5,5,4,0,5,11,2012,1
22935,35558,thomas-cook-airlines,P Phillips,United Kingdom,Just got back from Barbados on the (now) infamous TCX816 fight which was delayed a few times. We initially sat on the plane for 4hrs without going anywhere (not good) due to technical problems. Eventually got off the plane and taken to a hotel which was very nice. Thomas Cook did everything possible to make the transition smooth staff very helpful and polite. Should have left 6.30pm Thursday eventually left around 4pm Saturday. Would like to thank Thomas Cook for doing everything they could with efficiency and polite staff. My only criticism was having to hang about waiting for further updates every few hours had they said 24 plus hrs delay we could have enjoyed extra time on the beach instead of hotel room waiting for calls.,Premium Economy,9,4,5,4,3,5,11,2014,1
16573,24715,malaysia-airlines,D Tong,Indonesia,Ho Chi Minh City to Kuala Lumpur on December 29 2014. The only 4 check-in counters open and I had to wait approx. 45 mins although only about 10 people queuing. The flight used a B737-800 and the crew were good. The magazines and newspapers were in a bad shape. The food were good (didn't get any options since they were running out of food). The luggage took another 45 minutes to come out.,Economy,6,4,2,5,5,4,1,2015,1
17543,26004,malaysia-airlines,Sam Wong,Malaysia,KUL-CDG on A380. The aircraft is nice and entertainment system was sufficient for the long flight. But the crews were terrible. Poor services throughout the flight not attentive to the needs of passengers and when requesting anything seemed reluctant to provide anything. No smiles from the crew. Definitely not a 5 star airlines with this kind of poor service.,Economy,1,3,1,1,3,1,9,2013,0
17062,25357,monarch-airlines,Paul Alcock,United Kingdom,26/05/2014 Luton - Mahon ZB38. 30/05/2014 Mahon - Luton ZB39. Have flown with Monarch many times from Luton airport the last trip we took as a couple was to Mahon which we found to be very good. Customer service was excellent and the flight was very comfortable. Snacks were very good value for an airline.,Economy,10,3,4,3,0,3,10,2014,1
23218,35894,tap-portugal,A Griggs,United Kingdom,LHR-LIS-FAO return. All flights left about 10-30 minutes late yet the time was always made up in flight. Seats are quite comfortable and I would recommend row 24 on A321 as it is exit seat with extra room. Food served is average usually a cold sandwich apart for on LIS-LHR where due to a crew shortage no food or drinks could be served throughout the flight. TAP is a good option against the LCC when going to Europe as they offer competitive rates and include all meals and baggage. It must be said that their Lisbon hub is not the best due to the lack of signs and long walks between gates when transferring.,Economy,6,4,3,2,2,3,8,2012,1
23829,36657,transaero-airlines,J Kene,United Kingdom,Moscow to London. Economy and apart from no visual entertainment it was pretty good. I received champagne upon take off (in aid of Russian Christmas Eve). On my 4.5 hour flight I was offered non alcoholic and alcoholic refreshments another 5 times and then was brought tea and sparkling water. Staff were helpful and polite and the seats comfortable. The aircraft was aged but well maintained. I would definitely fly with no reservations flying with considering the price.,Economy,9,4,4,4,2,4,1,2012,1
2387,3142,air-canada-rouge,U Chatterton-Gilboe,Canada,Reserved and paid for regular Air Canada round trip Toronto to Puerto Vallarta last year for travel this April. Wound up on Rouge with a person with a dog in a carrier under the seat next to me. This left no space for the passenger's legs so he took part of my space which was tight enough already. When I politely asked for another seat I was told there were none. I walked the length of the plane and there were seats at the back. No entertainment tablets for $10 that did not work mushy sandwich and knees in my back. Thanks but no thanks - no more Air Canada for me. Rouge me once but not twice.,Economy,1,1,2,1,1,1,5,2014,0
870,1296,air-berlin,S Majid,Malaysia,Economy on ZRH-DUS and DUS-AUH. The planes were new but considering this is a European airline why did they design the seats with so little legroom? Everyone suffered when the the person in front started to recline seats. Limited choice on inflight entertainment. The experience on both flights were horrible and we would never want to fly with this airline again. Avoid this airline at all cost.,Economy,1,1,2,3,2,2,10,2014,0
12598,17830,finnair,S Cornelis,Belgium,Brussels-Helsinki-Tokyo (Narita) return. I fly frequently and this is absolutely one of the better airlines. Very friendly and attentive crew food was ok new plane for the long trip from HEL-NAR. I'd choose Finnair again.,Economy,9,4,4,4,5,4,5,2012,1
22785,35367,thai-airways,Pistolesi Maurizio,Italy,Flew on the FCO-TPE route with B747 from Rome to BKK then A330-300 from BKK to TPE. FCO-BKK-FCO route Biz class only 30% seats were occupied crew very attentive friendly. Food very good hot towels 4-5 times. Seat on B747 in sleeping position very uncomfortable only recline approx.160 degree lack of legroom very difficult to sleep (I'm 192 cm). BKK-TPE route A330-300 seat very good IFE also very good. Service also very good even if biz. class almost full. On the last flight to FCO my bag was the 1st one on the carousel. I recommend Thai.,Business Class,7,2,4,4,3,4,1,2015,1
24039,37025,thomson-airways,K Fletcher-Biles,United Kingdom,I was dreading the Thomson flight from Gatwick to Sharm last week. The last time I flew on this route was on an old 757 with very cramped seats and no elbow room. My flight booking indicated that we would be on the same type of aircraft. What a surprise on boarding! A brand new 737-800 clean and fresh with almost decent legroom. The price is such that this is what should be supplied on this route it is no longer a cheap option to fly Thomson. There is no entertainment at all on a 5.5 hour flight not even recorded music. Thank god for i-pods. The bacon baguette was decent and the drinks not too expensive. The only niggle is that I often fly on full service carriers to Thailand (Twice the distance) with everything free and great in flight entertainment for only £100 more. Not only are the fares now much higher you are charged for baggage seat allocation food drink etc.,Economy,8,4,4,4,1,3,5,2013,1
